x_value,total_1,total_2
0,1000,1000
1,1007,1001
2,1004,997
3,1009,997
4,1009,994
5,1009,1000
6,1007,999
7,1007,1005
8,1002,1001
9,998,1005
10,995,1003
11,989,1008
12,984,1010
13,983,1014
14,983,1014
15,977,1013
16,979,1019
17,982,1023
18,986,1018
19,987,1014
20,990,1012
21,988,1010
22,987,1012
23,992,1018
24,987,1019
25,993,1017
26,989,1014
27,986,1011
28,989,1015
29,990,1012
30,996,1016
31,991,1017
32,986,1016
33,986,1019
34,991,1025
35,998,1030
36,1004,1033
37,1010,1030
38,1018,1030
39,1015,1025
